date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:56:23	122252/122252	URF---	200	untouched ('OK%20(cached)')	application/delayed		https://1.bp.blogspot.com/-fwum-ovtZPQ/XbsBb3_elBI/AAAAAAAAABc/M4D-VYZzHkk12mE_KCTIxQS2fueQagQEQCLcBGAsYHQ/s1600/021.jpg	F:/My%20Web%20Sites/claymore/1.bp.blogspot.com/-fwum-ovtZPQ/XbsBb3_elBI/AAAAAAAAABc/M4D-VYZzHkk12mE_KCTIxQS2fueQagQEQCLcBGAsYHQ/s1600/021.2e.delayed	(from https://read-claymore-online.com/claymore-chapter-1/)
02:56:24	38880/38880	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:21%20GMT	https://read-claymore-online.com/manga/claymore-chapter-142/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-142/index.html	(from https://read-claymore-online.com/)
02:56:24	118210/118210	URF---	200	untouched ('OK%20(cached)')	application/delayed		https://1.bp.blogspot.com/-cK5XDiY1qeY/XbsBcHM4cUI/AAAAAAAAABg/lmmvNGtkHAQKPa2iKJmZK1YnIA8nLKBCgCLcBGAsYHQ/s1600/022.jpg	F:/My%20Web%20Sites/claymore/1.bp.blogspot.com/-cK5XDiY1qeY/XbsBcHM4cUI/AAAAAAAAABg/lmmvNGtkHAQKPa2iKJmZK1YnIA8nLKBCgCLcBGAsYHQ/s1600/022.2f.delayed	(from https://read-claymore-online.com/claymore-chapter-1/)
02:56:39	39256/39256	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:22%20GMT	https://read-claymore-online.com/manga/claymore-chapter-141/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-141/index.html	(from https://read-claymore-online.com/)
02:56:40	39335/39335	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:23%20GMT	https://read-claymore-online.com/manga/claymore-chapter-140/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-140/index.html	(from https://read-claymore-online.com/)
02:56:40	38866/38866	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:23%20GMT	https://read-claymore-online.com/manga/claymore-chapter-139/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-139/index.html	(from https://read-claymore-online.com/)
02:56:40	37235/37235	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:23%20GMT	https://read-claymore-online.com/manga/claymore-chapter-138/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-138/index.html	(from https://read-claymore-online.com/)
02:56:41	38476/38476	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:39%20GMT	https://read-claymore-online.com/manga/claymore-chapter-137/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-137/index.html	(from https://read-claymore-online.com/)
02:56:41	38866/38866	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:39%20GMT	https://read-claymore-online.com/manga/claymore-chapter-136/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-136/index.html	(from https://read-claymore-online.com/)
02:56:41	39256/39256	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:39%20GMT	https://read-claymore-online.com/manga/claymore-chapter-135/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-135/index.html	(from https://read-claymore-online.com/)
02:56:42	94358/94358	URF---	200	untouched ('OK%20(cached)')	application/delayed		https://1.bp.blogspot.com/-qrEZJtXj9aE/XbsBe2fEFKI/AAAAAAAAACM/IlG0CDChU1MjF1qm32X_ExtI5-HexE3DQCLcBGAsYHQ/s1600/033.jpg	F:/My%20Web%20Sites/claymore/1.bp.blogspot.com/-qrEZJtXj9aE/XbsBe2fEFKI/AAAAAAAAACM/IlG0CDChU1MjF1qm32X_ExtI5-HexE3DQCLcBGAsYHQ/s1600/033.3a.delayed	(from https://read-claymore-online.com/claymore-chapter-1/)
02:56:57	37222/37222	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:40%20GMT	https://read-claymore-online.com/manga/claymore-chapter-134/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-134/index.html	(from https://read-claymore-online.com/)
02:56:58	38894/38894	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:40%20GMT	https://read-claymore-online.com/manga/claymore-chapter-133/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-133/index.html	(from https://read-claymore-online.com/)
02:56:58	39269/39269	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:41%20GMT	https://read-claymore-online.com/manga/claymore-chapter-132/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-132/index.html	(from https://read-claymore-online.com/)
02:56:58	39646/39646	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:41%20GMT	https://read-claymore-online.com/manga/claymore-chapter-131/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-131/index.html	(from https://read-claymore-online.com/)
02:56:59	38907/38907	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:57%20GMT	https://read-claymore-online.com/manga/claymore-chapter-129/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-129/index.html	(from https://read-claymore-online.com/)
02:56:59	39687/39687	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:57%20GMT	https://read-claymore-online.com/manga/claymore-chapter-130/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-130/index.html	(from https://read-claymore-online.com/)
02:57:15	38863/38863	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:57%20GMT	https://read-claymore-online.com/manga/claymore-chapter-128/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-128/index.html	(from https://read-claymore-online.com/)
02:57:15	35649/35649	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:58%20GMT	https://read-claymore-online.com/manga/claymore-chapter-126/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-126/index.html	(from https://read-claymore-online.com/)
02:57:15	30805/30805	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:56:58%20GMT	https://read-claymore-online.com/manga/claymore-chapter-125-5/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-125-5/index.html	(from https://read-claymore-online.com/)
02:57:16	38495/38495	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:57:00%20GMT	https://read-claymore-online.com/manga/claymore-chapter-125/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-125/index.html	(from https://read-claymore-online.com/)
02:57:16	39269/39269	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:57:14%20GMT	https://read-claymore-online.com/manga/claymore-chapter-124/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-124/index.html	(from https://read-claymore-online.com/)
02:57:16	35634/35634	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:57:14%20GMT	https://read-claymore-online.com/manga/claymore-chapter-122/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-122/index.html	(from https://read-claymore-online.com/)
02:57:32	38100/38100	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:57:15%20GMT	https://read-claymore-online.com/manga/claymore-chapter-121/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-121/index.html	(from https://read-claymore-online.com/)
02:57:32	39646/39646	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:57:15%20GMT	https://read-claymore-online.com/manga/claymore-chapter-120/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-120/index.html	(from https://read-claymore-online.com/)
02:57:33	39646/39646	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:57:16%20GMT	https://read-claymore-online.com/manga/claymore-chapter-119/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-119/index.html	(from https://read-claymore-online.com/)
02:57:33	39256/39256	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2022%20May%202020%2023:57:16%20GMT	https://read-claymore-online.com/manga/claymore-chapter-118/	F:/My%20Web%20Sites/claymore/read-claymore-online.com/manga/claymore-chapter-118/index.html	(from https://read-claymore-online.com/)
